,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Masaan,2015,8.1,,27116,,109
1,Millennium Actress,2001,7.8,70.0,26806,0.19,87
2,Super 30,2019,8.0,,28951,2.27,154
3,Once Upon a Time in Anatolia,2011,7.9,82.0,45540,0.14,157
4,Haider,2014,8.2,,53141,0.9,160
5,Jean de Florette,1986,8.1,,25421,4.94,120
6,Barfi!,2012,8.2,,80190,2.8,151
7,Le Dîner de Cons,1998,7.6,73.0,40871,4.07,80
8,The Grand Illusion,1937,8.1,,36011,0.17,113
9,The Rules of the Game,1939,7.9,,28504,,110
10,Beauty and the Beast,1946,7.9,92.0,26052,0.3,93
11,Udta Punjab,2016,7.8,,29683,,148
12,G.O.R.A.,2003,8.1,,61315,,127
13,English Vinglish,2012,7.9,,35653,1.67,134
14,Nine Queens,2000,7.9,80.0,52150,1.22,114
15,Drishyam 2,2021,8.6,,34105,,152
16,Special 26,2013,8.1,,55023,1.08,144
17,Tae Guk Gi: The Brotherhood of War,2004,8.0,64.0,39335,1.11,140
18,Sullivan's Travels,1941,7.9,,25898,,90
19,Asuran,2019,8.6,,25453,,141
20,Elite Squad 2: The Enemy Within,2010,8.0,71.0,82131,0.1,115
21,Baby,2015,8.1,,56518,,159
22,Swades,2004,8.3,,88580,1.22,189
23,Sanjuro,1962,8.0,,37435,,96
24,Fireworks,1997,7.7,,30030,0.23,103
25,Central Station,1998,8.0,80.0,38947,5.6,110
26,M.S. Dhoni: The Untold Story,2016,8.1,,51481,1.78,184
27,The Muppet Christmas Carol,1992,7.7,64.0,57232,27.28,85
28,Zelig,1983,7.7,,41674,11.8,79
29,Dev.D,2009,8.0,,30273,0.01,144
30,Andaz Apna Apna,1994,8.1,,52549,,160
31,A Night at the Opera,1935,7.8,,32458,2.54,96
32,Paan Singh Tomar,2012,8.2,,35638,0.04,135
33,Veer Zaara,2004,7.9,67.0,51933,2.92,192
34,The Circus,1928,8.1,90.0,33054,,72
35,Knockin' on Heaven's Door,1997,7.9,,29709,0.0,87
36,Sholay,1975,8.1,,54632,,162
37,Munna Bhai M.B.B.S.,2003,8.1,,79565,,156
38,"Carry On, Munna Bhai",2006,8.1,,46100,2.22,144
39,The Edge of Heaven,2007,7.8,85.0,31848,0.74,122
40,Vicky Donor,2012,7.8,,42457,0.17,126
41,OMG: Oh My God!,2012,8.2,,56731,0.92,125
42,Let's Go! India,2007,8.2,68.0,78637,1.11,153
43,Bhaag Milkha Bhaag,2013,8.3,,66165,1.63,186
44,Airlift,2016,8.1,,56023,,130
45,The Breath,2009,8.1,,33287,,128
46,Udaan,2010,8.1,,44489,0.01,134
47,Sarfarosh,1999,8.1,,25286,,174
48,Anand,1971,8.1,,33307,,122
49,Vizontele,2001,8.0,,36048,,110
50,The Batman,2022,8.5,72.0,155562,,175
51,Spider-Man: No Way Home,2021,8.7,71.0,490619,,148
52,CODA,2021,8.1,74.0,58860,,111
53,The Dark Knight,2008,9.1,84.0,2511212,534.86,152
54,Dune,2021,8.1,74.0,504382,,155
55,The Godfather,1972,9.2,100.0,1758841,134.97,175
56,Knives Out,2019,7.9,82.0,577157,165.36,130
57,Kingsman: The Secret Service,2014,7.7,60.0,644011,128.26,129
58,Batman Begins,2005,8.3,70.0,1401817,206.85,140
59,The Dark Knight Rises,2012,8.4,78.0,1626756,448.14,164
60,The Shawshank Redemption,1994,9.3,81.0,2555262,28.34,142
61,Avengers: Endgame,2019,8.4,78.0,1022235,858.37,181
62,Joker,2019,8.4,59.0,1155732,335.45,122
63,300,2006,7.6,52.0,791481,210.61,117
64,Interstellar,2014,8.7,74.0,1700467,188.02,169
65,Harry Potter and the Sorcerer's Stone,2001,7.6,65.0,743626,317.58,152
66,Zack Snyder's Justice League,2021,8.1,54.0,363331,,242
67,Inception,2010,8.8,74.0,2244076,292.58,148
68,Once Upon a Time... In Hollywood,2019,7.6,83.0,674379,142.5,161
69,Hacksaw Ridge,2016,8.1,71.0,493192,67.21,139
70,The Wolf of Wall Street,2013,8.2,75.0,1321719,116.9,180
71,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,92.0,1782572,315.54,178
72,Ghostbusters,1984,7.8,71.0,401221,238.63,105
